subject_id,minute,mean_rr_sec,median_rr_sec,mean_hr_bpm,median_hr_bpm,sdnn_sec,rmssd_sec,pnn50,cv_rr,n_rr_total,n_rr_valid,rr_invalid_fraction,feature_valid
a11,0,0.8249295774647888,0.8299999999999983,72.73348130442206,72.28915662650617,0.030839364429092023,0.016690459207925803,0.014285714285714285,0.03738423893572705,71,71,0.0,1
a11,1,0.8247945205479452,0.8299999999999983,72.74539113104136,72.28915662650617,0.028776417285353878,0.016287350238075902,0.0,0.034889195512885454,73,73,0.0,1
a11,2,0.8127027027027025,0.8000000000000114,73.82773528433657,74.99999999999893,0.03907482450892971,0.02109989287774374,0.0410958904109589,0.048080096668786154,74,74,0.0,1
a11,3,0.8146575342465753,0.8100000000000023,73.6505801244325,74.07407407407386,0.03628904762003191,0.019075871903764786,0.027777777777777776,0.044545156822975114,73,73,0.0,1
a11,4,0.8089189189189191,0.8199999999999932,74.17307049782825,73.17073170731769,0.022118458637841693,0.014093620435728774,0.0,0.0273432331974655,74,74,0.0,1
a11,5,0.8323611111111112,0.8300000000000409,72.08409811446687,72.28915662650246,0.018801637294270344,0.013054598240141366,0.0,0.022588317790546715,72,72,0.0,1
a11,6,0.7879220779220781,0.7899999999999636,76.14966210647765,75.9493670886111,0.019080002092135267,0.013327849749571383,0.013157894736842105,0.02421559520511645,77,77,0.0,1
a11,7,0.8557142857142854,0.8600000000000136,70.11686143572624,69.767441860464,0.02522774114730614,0.014793261293920001,0.0,0.029481500506033896,70,70,0.0,1
a11,8,0.8402816901408454,0.8400000000000318,71.40462621521955,71.42857142856872,0.03504983517327869,0.031600180831309034,0.04285714285714286,0.041712006324216996,71,71,0.0,1
a11,9,0.8268493150684934,0.8299999999999272,72.56461232604372,72.28915662651237,0.022415068860577335,0.01662494778604628,0.013888888888888888,0.02710901303548948,73,73,0.0,1
a11,10,0.8062162162162158,0.8099999999999454,74.42172309755284,74.07407407407906,0.05092844033349012,0.016879914302184957,0.0136986301369863,0.06316970473815406,74,74,0.0,1
a11,11,0.8242465753424651,0.8299999999999272,72.79375103872367,72.28915662651237,0.015358476506761278,0.014043582955282283,0.0,0.01863335191945445,73,73,0.0,1
a11,12,0.8440845070422545,0.8400000000000318,71.0829300850992,71.42857142856872,0.0208790711881998,0.015856499343436633,0.0,0.024735759291876925,71,71,0.0,1
a11,13,0.8140540540540542,0.8100000000000023,73.70517928286851,74.07407407407386,0.03006472100474113,0.014429801734000387,0.0,0.03693209419573113,74,74,0.0,1
a11,14,0.8320833333333328,0.8300000000000409,72.10816224336509,72.28915662650246,0.029404296897840854,0.01764277771876949,0.0,0.03533816352269308,72,72,0.0,1
a11,15,0.8242465753424651,0.82000000000005,72.79375103872367,73.17073170731261,0.016407807103391528,0.015411035007415596,0.0,0.019906430422928077,73,73,0.0,1
a11,16,0.8233333333333346,0.82000000000005,72.8744939271254,73.17073170731261,0.01815426850051157,0.014290743581510959,0.0,0.022049718826532238,72,72,0.0,1
a11,17,0.8155405405405393,0.8100000000001728,73.5708367854185,74.07407407405827,0.019170603344201967,0.012927617246486117,0.0,0.023506622161904685,74,74,0.0,1
a11,18,0.8290277777777786,0.8299999999999272,72.37393198190645,72.28915662651237,0.020290823723715518,0.015105264449362705,0.0,0.024475444933950676,72,72,0.0,1
a11,19,0.8289041095890409,0.8299999999999272,72.38472979672783,72.28915662651237,0.031071675375729663,0.013693063937635148,0.0,0.037485247106730554,73,73,0.0,1
a11,20,0.8141891891891891,0.8099999999999454,73.6929460580913,74.07407407407906,0.022995339418011587,0.018872317917001426,0.0273972602739726,0.02824323845531714,74,74,0.0,1
a11,21,0.8370422535211277,0.849999999999909,71.6809692074709,70.5882352941252,0.04012104421790097,0.015071259308453253,0.0,0.04793192225258229,71,71,0.0,1
a11,22,0.823013698630136,0.8200000000001637,72.90279627163791,73.17073170730247,0.019485388507715147,0.017873008824589757,0.0,0.02367565514419453,73,73,0.0,1
a11,23,0.8140540540540542,0.8099999999999454,73.70517928286851,74.07407407407906,0.022810651136200455,0.014477190372997363,0.0136986301369863,0.028021052192543715,74,74,0.0,1
a11,24,0.8293055555555561,0.8299999999999272,72.34969016915085,72.28915662651237,0.016039246662157367,0.014142135623704501,0.0,0.01934057544256121,72,72,0.0,1
a11,25,0.7697435897435893,0.7699999999999818,77.948034643571,77.92207792207977,0.06448546315545914,0.025174714174454774,0.025974025974025976,0.08377525193414084,78,78,0.0,1
a11,26,0.8083783783783776,0.8099999999999454,74.2226680040121,74.07407407407906,0.024939764531135406,0.016675796586083695,0.0136986301369863,0.030851597714878335,74,74,0.0,1
a11,27,0.7829870129870126,0.7699999999999818,76.62962348648205,77.92207792207977,0.02982691009742803,0.016583123951752897,0.0,0.03809374817551765,77,77,0.0,1
a11,28,0.7898684210526342,0.7999999999999545,75.96201899050449,75.00000000000426,0.04014950131869982,0.017813852287855772,0.02666666666666667,0.05083061969383935,76,76,0.0,1
